id_consumption,user_id,nutrition_id,date_consommation,repas_type,quantite_grammes
1,2026352035,387,2016-04-12,LUNCH,268.29
2,2026352035,457,2016-04-12,SNACK,105.43
3,8378563200,575,2016-04-12,DINNER,180.12
4,8378563200,435,2016-04-12,BREAKFAST,330.23
5,8378563200,450,2016-04-12,SNACK,253.84
6,3372868164,323,2016-04-12,BREAKFAST,97.23
7,3372868164,238,2016-04-12,BREAKFAST,303.46
8,3372868164,486,2016-04-12,DINNER,250.55
9,3977333714,415,2016-04-12,BREAKFAST,321.14
10,3977333714,448,2016-04-12,SNACK,290.16
11,1624580081,276,2016-04-12,DINNER,341.23
12,1624580081,295,2016-04-12,DINNER,167.97
13,1624580081,215,2016-04-12,SNACK,180.02
14,1624580081,115,2016-04-12,DINNER,206.78
15,7007744171,406,2016-04-12,DINNER,304.82
16,7007744171,77,2016-04-12,DINNER,269.07
17,7007744171,112,2016-04-12,SNACK,164.34
18,7007744171,273,2016-04-12,LUNCH,304.71
19,4702921684,497,2016-04-12,BREAKFAST,133.98
20,4702921684,475,2016-04-12,DINNER,81.99
21,4702921684,229,2016-04-12,DINNER,292.47
22,2873212765,393,2016-04-12,DINNER,203.91
23,2873212765,461,2016-04-12,LUNCH,233.56
24,8877689391,22,2016-04-12,LUNCH,251.37
25,8877689391,68,2016-04-12,SNACK,229.47
26,8877689391,145,2016-04-12,DINNER,230.99
27,8877689391,83,2016-04-12,BREAKFAST,162.07
28,8583815059,19,2016-04-12,LUNCH,95.74
29,8583815059,206,2016-04-12,SNACK,155.97
30,8583815059,355,2016-04-12,SNACK,159.27
31,8583815059,259,2016-04-12,BREAKFAST,258.72
32,6290855005,75,2016-04-12,SNACK,189.72
33,6290855005,330,2016-04-12,SNACK,299.79
34,6962181067,99,2016-04-12,BREAKFAST,204.71
35,6962181067,198,2016-04-12,SNACK,123.54
36,6962181067,190,2016-04-12,DINNER,215.28
37,2320127002,591,2016-04-12,BREAKFAST,177.69
38,2320127002,411,2016-04-12,LUNCH,103.67
39,2320127002,90,2016-04-12,DINNER,111.86
40,2320127002,293,2016-04-12,DINNER,339.71
41,6775888955,414,2016-04-12,SNACK,273.56
42,6775888955,536,2016-04-12,SNACK,201.33
43,6775888955,293,2016-04-12,LUNCH,153.51
44,4057192912,534,2016-04-12,BREAKFAST,127.73
45,4057192912,264,2016-04-12,DINNER,311.29
46,4057192912,57,2016-04-12,LUNCH,284.8
47,4057192912,47,2016-04-12,SNACK,274.25
48,2022484408,183,2016-04-12,DINNER,102.8
49,2022484408,391,2016-04-12,BREAKFAST,192.27
50,2022484408,255,2016-04-12,DINNER,91.24
51,1503960366,112,2016-04-12,DINNER,107.92
52,1503960366,292,2016-04-12,BREAKFAST,238.66
53,1644430081,585,2016-04-12,DINNER,338.81
54,1644430081,101,2016-04-12,DINNER,210.22
55,1644430081,177,2016-04-12,LUNCH,291.34
56,1644430081,546,2016-04-12,BREAKFAST,102.34
57,8053475328,397,2016-04-12,LUNCH,234.37
58,8053475328,288,2016-04-12,SNACK,207.84
59,8253242879,562,2016-04-12,LUNCH,321.96
60,8253242879,157,2016-04-12,BREAKFAST,117.87
61,8253242879,323,2016-04-12,LUNCH,229.59
62,8253242879,196,2016-04-12,SNACK,109.32
63,2347167796,167,2016-04-12,DINNER,109.09
64,2347167796,71,2016-04-12,DINNER,327.32
65,2347167796,396,2016-04-12,SNACK,142.16
66,7086361926,328,2016-04-12,SNACK,337.28
67,7086361926,140,2016-04-12,LUNCH,158.55
68,7086361926,23,2016-04-12,SNACK,219.07
69,7086361926,84,2016-04-12,SNACK,149.11
70,4445114986,554,2016-04-12,BREAKFAST,197.48
71,4445114986,585,2016-04-12,DINNER,347.94
72,6117666160,527,2016-04-12,DINNER,321.23
73,6117666160,90,2016-04-12,SNACK,220.09
74,4020332650,14,2016-04-12,LUNCH,150.86
75,4020332650,277,2016-04-12,SNACK,332.94
76,4020332650,457,2016-04-12,BREAKFAST,145.06
77,4020332650,187,2016-04-12,DINNER,113.14
78,1927972279,490,2016-04-12,DINNER,163.79
79,1927972279,91,2016-04-12,DINNER,289.9
80,1927972279,40,2016-04-12,SNACK,342.39
81,1927972279,527,2016-04-12,BREAKFAST,215.2
82,5577150313,256,2016-04-12,BREAKFAST,115.59
83,5577150313,86,2016-04-12,BREAKFAST,262.97
84,4388161847,73,2016-04-12,DINNER,236.9
85,4388161847,572,2016-04-12,SNACK,133.94
86,8792009665,423,2016-04-12,BREAKFAST,187.35
87,8792009665,474,2016-04-12,LUNCH,161.26
88,8792009665,15,2016-04-12,BREAKFAST,211.92
89,8792009665,509,2016-04-12,DINNER,258.97
90,4319703577,563,2016-04-12,BREAKFAST,108.59
91,4319703577,185,2016-04-12,DINNER,117.89
92,4319703577,308,2016-04-12,DINNER,193.16
93,4319703577,170,2016-04-12,BREAKFAST,340.88
94,5553957443,98,2016-04-12,SNACK,291.89
95,5553957443,352,2016-04-12,LUNCH,84.82
96,5553957443,108,2016-04-12,LUNCH,109.47
97,1844505072,490,2016-04-12,LUNCH,223.31
98,1844505072,149,2016-04-12,BREAKFAST,243.62
99,4558609924,172,2016-04-12,SNACK,314.22
